id;name
664;RUSH ENTERPRISES A
665;RUSH ENTERPRISES B
666;RYANAIR ADR
667;S & T BANCORP
668;SAFETY INSURANCE GROUP
669;SAIA
670;SANDY SPRING BANCRP
671;SANGAMO BIOSCIENCES
672;SANMINA
673;SAPIENS INTERNATIONAL CORPORAT
674;SAREPTA THERAPEUTICS
675;SB FINANCIAL GROUP
676;SBA COMMUNICATIONS CORP
677;SCANSOURCE
678;SCHNITZER STEEL CLASS A
679;SCHOLASTIC CORP
680;SCIENTIFIC GAMES
681;SEACOAST BANKING
682;SECURITY NATL FIN-A
683;SEI INVESTMENTS
684;SELECTIVE INSURANCE GP
685;SELLAS LIFE SCIENCES GROUP
686;SEMTECH
687;SENECA FOODS -B
688;SENECA FOODS-A
689;SHENANDOAH TELECOMMUNICATIONS
690;SHOE CARNIVAL
691;SHORE BANCSHARES
692;SIEBERT FINANCIAL
693;SIERRA BANCORP
694;SIFY TECHNOLOGIES ADR
695;SIGA TECHNOLOGIES
696;SIGMATRON INTL
697;SILICOM LTD
698;SILICON LABORATORIES
699;SILICON MOTION TECHN ADR 4 SHS
700;SIMMONS FIRST N -A-
701;SIMULATIONS PLUS
702;SIRIUS SATEL
703;SKYWEST
704;SKYWORKS SOLUTIONS
705;SLEEP NUMBER
706;SOCKET MOBILE
707;SOHU COM INC ADR
708;SONOMA PHARMACEUTICALS
709;SOTHERLY HOTELS
710;SOUTHERN FIRST BANCSHARES
711;SOUTHERN MISSOURI BANCORP
712;SOUTHERN NATIONAL BANCORP VA
713;SOUTHSIDE BANCSHS
714;SPAR GROUP
715;SPARTAN MOTORS
716;SPARTANNASH COMPANY
717;SPOK HOLDINGS
718;SSR MINING INC
719;STAAR SURGICAL
720;STAR BULK CARRIERS
721;STARBUCKS
722;STEALTHGAS
723;STEEL DYNAMICS
724;STERICYCLE
725;STERLING CONSTRUCTION CO
726;STEVEN MADDEN
727;STOCK YARDS BANCORP
728;STRATEGIC EDUCATION
729;STRATTEC SECURITY
730;STRATUS PROPERTIES
731;STREAMLINE HEALTH SOLUTIONS
732;SUMMIT STAT BK SANTA ROSA CALI
733;SUNESIS PHARMACEUTICALS
734;SUNOPTA
735;SUPER MICRO COMPUTER
736;SUPERCOM LTD
737;SUPERIOR UNIFORM
738;SURMODICS
739;SYCAMORE ENTERTAINMENT GROUP
740;SYMANTEC COR
741;SYNALLOY
742;SYNAPTICS
743;SYNOPSYS INC
744;SYPRIS SOLUTIONS
745;TAITRON COMPONENTS CLASS A
746;TAKE TWO INTERACTIVE SOFTWARE
747;TAT TECHNOLOGIES
748;TAYLOR DEVICES
749;TECHTARGET
750;TETRA TECH
751;TEVA PHARMACEUTICAL IND. ADR
752;TEXAS CAPITAL BANCSHARES INC
753;TEXAS ROADHOUSE
754;TFS FINANCIAL
755;THE BANCORP
756;THE DESCARTES SYSTEMS GROUP
757;TIMBERLAND BANCORP
758;TITAN MACHINERY
759;TOWER SEMICONDUCTOR
760;TOWNE BANK
761;TRACTOR SUPPLY
762;TRANSACT TECH
763;TRANSCAT
764;TRAVELZOO
765;TRICO BANCSHARES
766;TRIMBLE
767;TRIP.COM INTERNAT ADR 1/4 SH
768;T.ROWE PRICE
769;TRUSTCO BANK (NY)
770;TRUSTMARK
771;TTEC HOLDINGS INC
772;TTM TECHNOLOGIES
773;TWIN DISC
774;UFP TECHNOLOGIES
775;ULTA SALON COSMET&FRAGANCE
776;ULTRA CLEAN HOLDINGS
777;ULTRALIFE
778;UMB FINANCIAL
779;UNITED BANCORP OHIO
780;UNITED BANKSHARES
781;UNITED COMMUNITY BANKS
782;UNITED FIRE GROUP
783;UNITED SEC BANCSH
784;UNITED THERAPEUTICS
785;UNITY BANCORP
786;UNIV STAINLES&ALLOY
787;UNIVERSAL DISPLAY
